Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
20/6/2008,1569.75,1588.5,1515,1532.5,380719
27/6/2008,1522,1593,1489.75,1581.5,271078
4/7/2008,1581.75,1654,1561.5,1649,116168
11/7/2008,1632.5,1639,1505,1615.5,160104
18/7/2008,1610,1610,1470,1470,170847
25/7/2008,1455.75,1469.25,1368.5,1398.75,159962
1/8/2008,1404,1429.75,1353.5,1355.5,120567
8/8/2008,1345,1350,1169.5,1177,72597
15/8/2008,1184.5,1296,1163.75,1211.5,48472
22/8/2008,1220,1363.75,1219.75,1321,50276
29/8/2008,1341.5,1364.5,1302,1332,55151
5/9/2008,1302,1314,1166.75,1177,410146
12/9/2008,1197.5,1222.5,1157,1202,469219
19/9/2008,1208,1210,1099.5,1143.5,535153
26/9/2008,1144.25,1212.25,1134,1164,419155
3/10/2008,1163.5,1163.5,991,992,489726
10/10/2008,971,990,910,910,473975
17/10/2008,902.75,958,825,894,526504
24/10/2008,890.75,944.5,844.25,863.75,489832
31/10/2008,879.5,964,851.25,925.25,367872
7/11/2008,929.75,981.75,882.5,921,408620
14/11/2008,935.25,954.25,872.75,896,384503
21/11/2008,890,921.25,835.25,840,369445
28/11/2008,852,899.75,841.5,883,218451
5/12/2008,879.25,882.75,776.25,783.5,411747
12/12/2008,789.25,865.75,788.5,854,442766
19/12/2008,856,877.25,840,868.25,320182
26/12/2008,868,963,862.25,951.75,131399
2/1/2009,950,993.25,930.25,977,152903
9/1/2009,979.5,1040,965.25,1036,460147
16/1/2009,1035.75,1060.25,957.75,1020,494296
23/1/2009,1018.25,1037,977.5,1009,394006
30/1/2009,1015,1041.5,965,980,373176
6/2/2009,972.5,1007.75,934.5,1001,429081
13/2/2009,997,1019,955,955.5,403115
20/2/2009,955,960,854,862.5,350294
27/2/2009,864.5,894.5,851,874.5,204569
6/3/2009,871.75,878.75,838.25,867,352508
13/3/2009,864,895,856.5,876.5,303921
20/3/2009,875.5,953,864.75,952,383811
27/3/2009,952.25,981.25,916,917,378892
3/4/2009,917.5,997.5,897,995.5,401971
10/4/2009,995.25,1030.75,981.5,1007,366738
17/4/2009,1006,1073,998.25,1051,478477
24/4/2009,1047.25,1064,1012.75,1040.25,255231
1/5/2009,1034,1095.5,984.5,1091,233479
8/5/2009,1088,1131,1085,1111.5,463042
15/5/2009,1110,1156.25,1086.5,1130.5,408399
22/5/2009,1125,1189.5,1113.5,1166,402077
29/5/2009,1155.25,1200.75,1151,1184,327074
5/6/2009,1183,1236.5,1177,1225.5,430067
12/6/2009,1225,1291.25,1216,1245.5,475382
19/6/2009,1245,1254.5,1175.5,1179,345909
26/6/2009,1184,1209.75,1150.5,1201,247878
3/7/2009,1200,1232.5,1120,1154,132976
10/7/2009,1145,1148,999.25,1044.75,182908
17/7/2009,1045,1063.75,970.25,1009.5,140789
24/7/2009,1008,1040,1005.25,1021,87011
31/7/2009,1019.25,1134.25,1011.25,1044,98160
7/8/2009,1059,1103.75,1058.25,1090.5,52991
14/8/2009,1074,1113.25,1018.25,1024.5,58845
21/8/2009,1019,1035.75,976.75,1023,53094
28/8/2009,1036.25,1164.75,1036.25,1135.75,47787
4/9/2009,1139.5,1147,920.5,922,328740
11/9/2009,921,943,897.5,903,314337
18/9/2009,903,977.75,892,941,438119
25/9/2009,938.5,939.75,902,926,330238
2/10/2009,928.75,937.25,885,885,377712
9/10/2009,883.25,968.5,878.75,964,539756
16/10/2009,968.5,1012.25,965,977.5,531916
23/10/2009,977.5,1028,972.5,1006,516367
30/10/2009,1009.75,1019.75,959.25,978,428651
6/11/2009,967,1022.5,955,955,471992
13/11/2009,952.75,1009,951.25,987,438458
20/11/2009,1001.25,1050,991.5,1046,425914
27/11/2009,1048,1066.75,1021,1053,307174
4/12/2009,1054.25,1078.5,1031,1043,438729
11/12/2009,1045.5,1063.75,1019,1035,492886
18/12/2009,1032.75,1070.5,1008.25,1012,451126
25/12/2009,1012.5,1020,984.5,999.5,212203
1/1/2010,1000,1052.25,996.75,1039.75,167207
8/1/2010,1050.5,1074.75,1013.25,1022,418508
15/1/2010,1024.5,1032.75,969,974,453189
22/1/2010,974,984,940.75,951.5,287119
29/1/2010,955,956,913,914,394987
5/2/2010,915.25,934,900,913.5,455444
12/2/2010,919.75,950.5,918.75,945,520342
19/2/2010,948,966,931.75,945,265193
26/2/2010,946.25,978.75,934.75,951,291827
5/3/2010,965.5,971.5,937.25,942.75,349390
12/3/2010,944.5,964.25,923,925.5,377940
19/3/2010,926.25,964,921.75,961.75,307638
26/3/2010,959.75,976.5,941.75,952,332334
2/4/2010,952.5,977.5,930.5,942,367707
9/4/2010,942,964,932.75,952.25,329014
16/4/2010,954.5,989.75,952.75,985.25,481843
23/4/2010,981.5,1006.5,972.25,1000,201830
30/4/2010,996,1009.5,977.5,989.5,161834
7/5/2010,999,1002.75,948.5,960,426383
14/5/2010,965,976,951.25,953.5,309320
21/5/2010,954,955,931,941,344662
28/5/2010,941,956,927.5,937.75,305279
4/6/2010,939.25,958.25,930.5,935,271626
11/6/2010,934,952,926,946.25,416582
18/6/2010,945,964,944.75,961,277410
25/6/2010,965.25,972,955,957,200409
2/7/2010,958.25,973,926.25,944.5,139328
9/7/2010,942,997.75,938.5,993.25,129886
16/7/2010,991,1027,986.25,1019.5,172337
23/7/2010,1007.25,1026,998.5,1017,106995
30/7/2010,1014,1054.75,994.25,1052.5,110052
6/8/2010,1011.5,1054.5,1006,1039,60325
13/8/2010,1037.75,1049.5,1012,1043.5,43502
20/8/2010,1042.25,1050.25,1005.75,1009.25,35817
27/8/2010,1009,1024.75,994.25,1022,49648
3/9/2010,1024.25,1041.25,1000.75,1035,220841
10/9/2010,1035,1057,1028.75,1031,269218
17/9/2010,1030.75,1072,1022.75,1069,348650
24/9/2010,1069,1128.25,1068.25,1126,451305
1/10/2010,1126,1144,1053.5,1057,548625
8/10/2010,1055,1135,1042,1135,437091
15/10/2010,1155,1204.25,1150.75,1185,714474
22/10/2010,1182,1223.5,1165.5,1199.5,588209
29/10/2010,1202.5,1236.75,1199,1226,439913
5/11/2010,1240,1290,1222.25,1284,421448
12/11/2010,1284,1348.5,1269,1269,592421
19/11/2010,1266,1307.5,1175.25,1201.5,610542
26/11/2010,1196,1262.25,1190,1238.5,318248
3/12/2010,1240,1301.5,1226.5,1300.25,451442
10/12/2010,1304,1306.75,1266.5,1273,522586
17/12/2010,1269.5,1314.75,1257,1298.75,509734
24/12/2010,1302.75,1355,1295.5,1349.5,307691
31/12/2010,1341,1394.5,1339.25,1393.75,185532
7/1/2011,1396,1409,1357.5,1365,490338
14/1/2011,1368,1432.5,1355.25,1422.5,511795
21/1/2011,1412.25,1431.75,1383.5,1412.25,439705
28/1/2011,1412.5,1426.5,1364.25,1398,512095
4/2/2011,1395.25,1452.5,1394.5,1433.5,446079
11/2/2011,1438,1455.75,1410.25,1416,571059
18/2/2011,1419,1424.75,1357,1368,635897
25/2/2011,1379,1388.5,1284.75,1365.5,326579
4/3/2011,1367.5,1424.5,1349.5,1414,404601
11/3/2011,1412,1419,1305,1334.5,496632
18/3/2011,1336,1385.75,1270,1362.5,578845
25/3/2011,1369.25,1376.75,1338,1358.25,376067
1/4/2011,1360,1432,1341,1393.75,438720
8/4/2011,1393.5,1402.75,1360.5,1392.25,490556
15/4/2011,1395.5,1406.5,1316.5,1331.75,504965
22/4/2011,1331.75,1382,1320.75,1380.5,302392
29/4/2011,1380.75,1393.5,1334.25,1392.75,251123
6/5/2011,1391,1402.5,1306.5,1326,439976
13/5/2011,1327.75,1359.75,1313.5,1329.5,406620
20/5/2011,1330,1396,1312.25,1380.25,455896
27/5/2011,1386,1398.25,1365.75,1379.75,383248
3/6/2011,1371.5,1419.5,1366.5,1414.5,355612
10/6/2011,1415.75,1418.25,1377.25,1387.25,532489
17/6/2011,1385.25,1390.5,1330.5,1333,443349
