Dates,PX_LAST,PX_SETTLE,PX_VOLUME
30/5/2002,501.25,501.25,30361
31/5/2002,508.75,508.75,44856
3/6/2002,505.5,505.5,30999
4/6/2002,509.75,509.75,37176
5/6/2002,513.75,513.75,33161
6/6/2002,513.25,513.25,35940
7/6/2002,507.5,507.5,31652
10/6/2002,500.5,500.5,27999
11/6/2002,500.5,500.5,33952
12/6/2002,493.25,493.25,37195
13/6/2002,501.25,501.25,36239
14/6/2002,497,497,29688
17/6/2002,498.75,498.75,24862
18/6/2002,493,493,35055
19/6/2002,491.5,491.5,36167
20/6/2002,487.5,487.5,30505
21/6/2002,495,495,37674
24/6/2002,505.25,505.25,40329
25/6/2002,503.25,503.25,31857
26/6/2002,514,514,30314
27/6/2002,522,522,29600
28/6/2002,536.5,536.5,12797
1/7/2002,540.25,540.25,15420
2/7/2002,531,531,22166
3/7/2002,538,538,20921
4/7/2002,538,538,20921
5/7/2002,545.75,545.75,21971
8/7/2002,543,543,22491
9/7/2002,553,553,21551
10/7/2002,551.25,551.25,29140
11/7/2002,554.75,554.75,22071
12/7/2002,558.25,558.25,14554
15/7/2002,570,570,17480
16/7/2002,579.75,579.75,18808
17/7/2002,576.75,576.75,19397
18/7/2002,577.5,577.5,17978
19/7/2002,575.25,575.25,15700
22/7/2002,593.75,593.75,17826
23/7/2002,576,576,15551
24/7/2002,584,584,16355
25/7/2002,567.75,567.75,14637
26/7/2002,550.75,550.75,23024
29/7/2002,534.75,534.75,15583
30/7/2002,544.5,544.5,16801
31/7/2002,567.5,567.5,10855
1/8/2002,558.75,558.75,16831
2/8/2002,555,555,9260
5/8/2002,549,549,8779
6/8/2002,551.5,551.5,9122
7/8/2002,550.75,550.75,10159
8/8/2002,545.5,545.5,9574
9/8/2002,554.75,554.75,12231
12/8/2002,581.75,581.75,16683
13/8/2002,585,585,17069
14/8/2002,594,594,13068
15/8/2002,592.25,592.25,11365
16/8/2002,583.25,583.25,6343
19/8/2002,569,569,8627
20/8/2002,551.75,551.75,10673
21/8/2002,554.25,554.25,17726
22/8/2002,548,548,10920
23/8/2002,552,552,7337
26/8/2002,553.75,553.75,6139
27/8/2002,562.75,562.75,6485
28/8/2002,559.5,559.5,9795
29/8/2002,555.25,555.25,4766
30/8/2002,559,559,4044
2/9/2002,559,559,4044
3/9/2002,549.5,549.5,33316
4/9/2002,552.75,552.75,27349
5/9/2002,557.25,557.25,37957
6/9/2002,560,560,33895
9/9/2002,571,571,47641
10/9/2002,577.25,577.25,39400
11/9/2002,588.75,588.75,53051
12/9/2002,578.25,578.25,47558
13/9/2002,565.25,565.25,43730
16/9/2002,572.5,572.5,35692
17/9/2002,573,573,26279
18/9/2002,572,572,34160
19/9/2002,564,564,33968
20/9/2002,564.5,564.5,35485
23/9/2002,553.25,553.25,35351
24/9/2002,561.75,561.75,31349
25/9/2002,558.75,558.75,29155
26/9/2002,565.5,565.5,28446
27/9/2002,560.25,560.25,33280
30/9/2002,545.75,545.75,55582
1/10/2002,542,542,44366
2/10/2002,537.5,537.5,42520
3/10/2002,538,538,40816
4/10/2002,539.5,539.5,32416
7/10/2002,539.75,539.75,32210
8/10/2002,535.25,535.25,26629
9/10/2002,523.5,523.5,46112
10/10/2002,524.75,524.75,35094
11/10/2002,528.5,528.5,42733
14/10/2002,532.5,532.5,28273
15/10/2002,547.75,547.75,49080
16/10/2002,547,547,40911
17/10/2002,550.75,550.75,47180
18/10/2002,546,546,29657
21/10/2002,551,551,31300
22/10/2002,546.5,546.5,28762
23/10/2002,554.5,554.5,40889
24/10/2002,557.5,557.5,42974
25/10/2002,557,557,34043
28/10/2002,545.5,545.5,42561
29/10/2002,557,557,39885
30/10/2002,557,557,35450
31/10/2002,565.25,565.25,20742
1/11/2002,568.75,568.75,38019
4/11/2002,572.75,572.75,36610
5/11/2002,572.75,572.75,50871
6/11/2002,575,575,59207
7/11/2002,568.25,568.25,39457
8/11/2002,558.5,558.5,43087
11/11/2002,568.25,568.25,30362
12/11/2002,562.5,562.5,44118
13/11/2002,563,563,44685
14/11/2002,567.25,567.25,40265
15/11/2002,563.25,563.25,33112
18/11/2002,566.5,566.5,28527
19/11/2002,573.75,573.75,40274
20/11/2002,575.75,575.75,37207
21/11/2002,569.5,569.5,33979
22/11/2002,571.75,571.75,36095
25/11/2002,572.25,572.25,30073
26/11/2002,573,573,23300
27/11/2002,577.25,577.25,30979
28/11/2002,577.25,577.25,30979
29/11/2002,578.75,578.75,19247
2/12/2002,578.5,578.5,49450
3/12/2002,564.5,564.5,52719
4/12/2002,566.25,566.25,34937
5/12/2002,562,562,49702
6/12/2002,563.25,563.25,29727
9/12/2002,562,562,24695
10/12/2002,564,564,32238
11/12/2002,568,568,22576
12/12/2002,576,576,43155
13/12/2002,572,572,26212
16/12/2002,561.5,561.5,36010
17/12/2002,556,556,43655
18/12/2002,560.25,560.25,47099
19/12/2002,563.75,563.75,21029
20/12/2002,572,572,22045
23/12/2002,572.75,572.75,26443
24/12/2002,572.75,572.75,26443
25/12/2002,572.75,572.75,26443
26/12/2002,565.75,565.75,15837
27/12/2002,569.75,569.75,15332
30/12/2002,565.75,565.75,22321
31/12/2002,569.5,569.5,116
1/1/2003,569.5,569.5,116
2/1/2003,581,581,47232
